version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Philippines
info,gender,male
info,season,2023/24
info,date,2023/12/26
info,event,Philippines tour of Indonesia
info,match_number,6
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Philippines
info,toss_decision,field
info,player_of_match,Kulwinderjeet Singh
info,umpire,IGS Arsa
info,umpire,Hitesh Sharma
info,winner,Philippines
info,winner_wickets,7
info,player,Indonesia,GA Priandana
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,KD Kesuma
info,player,Indonesia,F Banunaek
info,player,Indonesia,IK Gamantika
info,player,Indonesia,GD Arta
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,AA Rahayu
info,player,Indonesia,RM Koda
info,player,Philippines,HER Tyler
info,player,Philippines,Kulwinderjeet Singh
info,player,Philippines,M Podosky
info,player,Philippines,DC Smith
info,player,Philippines,GR Russ
info,player,Philippines,JEA Doctora
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,ASF Sirah
info,player,Philippines,LJ Myott
info,player,Philippines,NJA Smith
info,player,Philippines,KDA Lukies
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,ASF Sirah,06bcade5
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Anjar Tadarus,72275237
info,registry,people,DC Smith,a968d39b
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,GR Russ,1f28fdfd
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Hitesh Sharma,2085a934
ball,1,4.5,Indonesia,KD Kesuma,F Banunaek,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,4.6,Indonesia,KD Kesuma,F Banunaek,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,5.1,Indonesia,F Banunaek,KD Kesuma,LJ Myott,1,0,,,,,,"",""
ball,1,5.2,Indonesia,KD Kesuma,F Banunaek,LJ Myott,0,0,,,,,,caught,KD Kesuma
ball,1,5.3,Indonesia,IK Gamantika,F Banunaek,LJ Myott,0,0,,,,,,bowled,IK Gamantika
ball,1,5.4,Indonesia,GD Arta,F Banunaek,LJ Myott,0,0,,,,,,"",""
ball,1,5.5,Indonesia,GD Arta,F Banunaek,LJ Myott,1,0,,,,,,"",""
ball,1,5.6,Indonesia,F Banunaek,GD Arta,LJ Myott,1,0,,,,,,"",""
ball,1,6.1,Indonesia,F Banunaek,GD Arta,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,6.2,Indonesia,F Banunaek,GD Arta,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,6.3,Indonesia,GD Arta,F Banunaek,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,6.4,Indonesia,F Banunaek,GD Arta,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,6.5,Indonesia,GD Arta,F Banunaek,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,6.6,Indonesia,GD Arta,F Banunaek,Huzaifa Mohammed,4,0,,,,,,"",""
ball,1,7.1,Indonesia,F Banunaek,GD Arta,LJ Myott,0,0,,,,,,"",""
ball,1,7.2,Indonesia,F Banunaek,GD Arta,LJ Myott,4,0,,,,,,"",""
